fork,eip,cross_layer,cohort,late_classification,censored,information_cutoff_at,days_cutoff_to_mainnet,days_cutoff_to_window_end,subst_revisions_after_cutoff,normative_revisions_after_cutoff,uncertain_revisions_after_cutoff,devnet_count,devnet_span_days,inferred_devnet_count,days_cutoff_to_first_devnet,deps_final,deps_after_cutoff,inclusion_reversals,unknown_inclusion_events,days_cutoff_to_sfi
amsterdam,7778,False,forecastable_at_cutoff,,True,2025-09-03T20:52:20+00:00,,355.1,0.4666666666666667,0.4,0,0.8333333333333334,0.8333333333333334,0,0.4666666666666667,0.2,0.26666666666666666,0.5333333333333333,0,0.5666666666666667
amsterdam,7843,False,forecastable_at_cutoff,,True,2025-06-09T07:29:29+00:00,,441.7,0.16666666666666666,0.16666666666666666,0,0.8333333333333334,0.8333333333333334,0,0.7333333333333333,0.1,0.26666666666666666,0.5333333333333333,0,0.9333333333333333
amsterdam,7928,False,forecastable_at_cutoff,,True,2025-07-31T16:00:14+00:00,,389.3,1.0,1.0,0,1.0,1.0,0,0.26666666666666666,0.8333333333333334,0.7333333333333333,0.5333333333333333,0,0.06666666666666667
amsterdam,7954,False,forecastable_at_cutoff,,True,2026-01-20T14:22:47+00:00,,216.4,0.16666666666666666,0.16666666666666666,0,0.6333333333333333,0.6333333333333333,0,0.2,0.4,0.26666666666666666,0.5333333333333333,0,0.26666666666666666
amsterdam,7976,False,forecastable_at_cutoff,,True,2025-09-03T20:52:20+00:00,,355.1,0.36666666666666664,0.4,0,0.5,0.5,0,0.6,0.4,0.26666666666666666,0.5333333333333333,0,0.5666666666666667
amsterdam,7981,False,forecastable_at_cutoff,,True,2025-08-26T21:52:26+00:00,,363.1,0.5333333333333333,0.5333333333333333,0,0.5,0.5,0,0.6666666666666666,0.4,0.6,0.5333333333333333,0,0.6666666666666666
amsterdam,7997,False,forecastable_at_cutoff,,True,2025-08-21T13:34:18+00:00,,368.4,0.6333333333333333,0.8,0,0.23333333333333334,0.23333333333333334,0,1.0,0.4,0.26666666666666666,0.5333333333333333,2,1.0
amsterdam,8024,False,forecastable_at_cutoff,,True,2025-10-29T02:00:31+00:00,,299.9,0.6333333333333333,0.6,0,0.8333333333333334,0.8333333333333334,0,0.3333333333333333,0.1,0.26666666666666666,0.5333333333333333,0,0.3333333333333333
amsterdam,8037,False,forecastable_at_cutoff,,True,2025-10-16T08:11:36+00:00,,312.7,0.9333333333333333,0.9333333333333333,0,0.6333333333333333,0.6333333333333333,0,0.5333333333333333,1.0,1.0,0.5333333333333333,0,0.4666666666666667
amsterdam,8038,False,forecastable_at_cutoff,,True,2025-10-16T08:11:36+00:00,,312.7,0.8,0.7,0,0.23333333333333334,0.23333333333333334,0,0.8,0.8333333333333334,0.9,0.5333333333333333,2,0.7333333333333333
amsterdam,8246,False,late_scope,derived_companion,True,2026-05-06T12:59:06+00:00,,110.5,0.16666666666666666,0.16666666666666666,0,0.23333333333333334,0.23333333333333334,0,0.13333333333333333,0.4,0.26666666666666666,0.5333333333333333,2,0.2
amsterdam,8282,True,late_scope,derived_companion,True,2026-07-13T07:12:57+00:00,,42.7,0.36666666666666664,0.4,0,0.23333333333333334,0.23333333333333334,0,0.06666666666666667,0.7333333333333333,0.6,0.5333333333333333,1,0.13333333333333333
