fork,eip,cross_layer,cohort,censored,subst_revisions_after_cutoff,devnet_count,deps_final,observed_effort_composite_v0,composite_without_subst_revisions_after_cutoff,composite_without_devnet_count,composite_without_deps_final
osaka,7825,False,forecastable_at_cutoff,False,0.2916666666666667,0.625,0.2916666666666667,0.40277777777777785,0.45833333333333337,0.2916666666666667,0.45833333333333337
osaka,7883,False,forecastable_at_cutoff,False,0.7083333333333334,0.875,0.7083333333333334,0.763888888888889,0.7916666666666667,0.7083333333333334,0.7916666666666667
osaka,7892,True,forecastable_at_cutoff,False,0.9583333333333334,0.875,0.2916666666666667,0.7083333333333334,0.5833333333333334,0.625,0.9166666666666667
osaka,7910,False,late_scope,False,0.8333333333333334,0.1666666666666666,0.9583333333333334,0.6527777777777778,0.5625,0.8958333333333334,0.5
osaka,7918,False,forecastable_at_cutoff,False,0.9583333333333334,0.625,0.9583333333333334,0.8472222222222223,0.7916666666666667,0.9583333333333334,0.7916666666666667
osaka,7934,False,late_scope,False,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.4305555555555556,0.3541666666666667,0.4375,0.5
osaka,7935,False,late_scope,False,0.2916666666666667,0.1666666666666666,0.2916666666666667,0.25,0.22916666666666663,0.2916666666666667,0.22916666666666663
osaka,7939,False,late_scope,False,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.3333333333333333,0.3541666666666667,0.2916666666666667,0.3541666666666667
osaka,7951,False,forecastable_at_cutoff,False,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.3333333333333333,0.3541666666666667,0.2916666666666667,0.3541666666666667
amsterdam,2780,False,forecastable_at_cutoff,True,0.8666666666666667,0.2333333333333333,0.9333333333333332,0.6777777777777777,0.5833333333333333,0.8999999999999999,0.55
amsterdam,7610,False,forecastable_at_cutoff,True,0.1666666666666666,0.2333333333333333,0.6,0.3333333333333333,0.41666666666666663,0.3833333333333333,0.19999999999999996
amsterdam,7708,False,forecastable_at_cutoff,True,0.7333333333333333,0.8333333333333334,0.6666666666666666,0.7444444444444445,0.75,0.7,0.7833333333333333
amsterdam,7778,False,forecastable_at_cutoff,True,0.4666666666666667,0.8333333333333334,0.2,0.5,0.5166666666666667,0.33333333333333337,0.65
amsterdam,7843,False,forecastable_at_cutoff,True,0.1666666666666666,0.8333333333333334,0.1,0.3666666666666667,0.4666666666666667,0.1333333333333333,0.5
amsterdam,7928,False,forecastable_at_cutoff,True,1.0,1.0,0.8333333333333334,0.9444444444444445,0.9166666666666667,0.9166666666666667,1.0
amsterdam,7954,False,forecastable_at_cutoff,True,0.1666666666666666,0.6333333333333333,0.4,0.39999999999999997,0.5166666666666666,0.2833333333333333,0.39999999999999997
amsterdam,7976,False,forecastable_at_cutoff,True,0.3666666666666666,0.5,0.4,0.4222222222222222,0.45,0.3833333333333333,0.4333333333333333
amsterdam,7981,False,forecastable_at_cutoff,True,0.5333333333333333,0.5,0.4,0.4777777777777777,0.45,0.4666666666666667,0.5166666666666666
amsterdam,7997,False,forecastable_at_cutoff,True,0.6333333333333333,0.2333333333333333,0.4,0.4222222222222222,0.31666666666666665,0.5166666666666666,0.4333333333333333
amsterdam,8024,False,forecastable_at_cutoff,True,0.6333333333333333,0.8333333333333334,0.1,0.5222222222222223,0.4666666666666667,0.36666666666666664,0.7333333333333334
amsterdam,8037,False,forecastable_at_cutoff,True,0.9333333333333332,0.6333333333333333,1.0,0.8555555555555555,0.8166666666666667,0.9666666666666666,0.7833333333333332
amsterdam,8038,False,forecastable_at_cutoff,True,0.8,0.2333333333333333,0.8333333333333334,0.6222222222222222,0.5333333333333333,0.8166666666666667,0.5166666666666667
amsterdam,8246,False,late_scope,True,0.1666666666666666,0.2333333333333333,0.4,0.26666666666666666,0.31666666666666665,0.2833333333333333,0.19999999999999996
amsterdam,8282,True,late_scope,True,0.3666666666666666,0.2333333333333333,0.7333333333333333,0.44444444444444436,0.4833333333333333,0.5499999999999999,0.29999999999999993
